,class,docs
0,Data Science,skill programming language python panda numpy scipy scikitlearn matplotlib sql java javascriptjquery machine learning regression svm bayes knn random forest decision tree boosting technique cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf pca neural net database visualization mysql sqlserver cassandra hbase elasticsearch d3js dcjs plotly kibana matplotlib ggplot tableau regular expression html cs angular logstash kafka python flask git docker computer vision open understanding deep learningeducation detail data science assurance associate data science assurance associate ernst young llp skill detail javascript exprience month jquery exprience month python exprience monthscompany detail company ernst young llp description fraud investigation dispute service assurance technology assisted review tar technology assisted review assist accelerating review process analytics generate report core member team helped developing automated review platform tool scratch assisting discovery domain tool implement predictive coding topic modelling automating review reduced labor cost time spent lawyer review understand flow solution development classification model predictive analysis mining text data worked analyzing output precision monitoring entire tool tar assist predictive coding topic modelling evidence standard developed classifier model order identify red flag fraudrelated issue tool technology python scikitlearn tfidf word doc cosine similarity bayes lda nmf topic modelling vader text blob sentiment analysis matplot lib tableau dashboard reporting multiple data science analytic project usa client text analytics motor vehicle customer review data received customer feedback survey data year performed sentiment positive negative neutral time series analysis customer comment category created heat map term survey category based frequency extracted positive negative survey category plotted word cloud created customized tableau dashboard effective reporting visualization chatbot developed user friendly chatbot product handle simple question hour operation reservation option chat bot serf entire product question overview tool platform recommendation response user question build chain relevant answer intelligence build pipeline question user requirement asks relevant recommended question tool technology python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikitlearn javascriptjquery sqlserver governance organization informed decision store integrated governance portfolio synthesizes intelligence unstructured data source facilitates action ensure organization positioned counter risk scan data multiple source format parse file format extract meta data push indexing elastic search created customized interactive dashboard kibana preforming rot analysis data data help identify content redundant outdated trivial preforming fulltext search analysis elastic search predefined method tag pii personally identifiable social security number address name frequently targeted cyberattacks tool technology python flask elastic search kibana fraud analytic platform fraud analytics investigative platform review red flag case fap fraud analytics investigative platform inbuilt case manager suite analytics erp system client interrogate accounting system identifying anomaly indicator fraud running advanced analytics tool technology html javascript sqlserver jquery cs bootstrap nodejs d3js dcjs
1,Data Science,education detail uitrgpv data scientist data scientist matelabs skill detail python exprience year month statsmodels exprience month aws exprience year month machine learning exprience year month sklearn exprience year month scipy exprience year month kera exprience year monthscompany detail company matelabs description platform business professional dummy enthusiast koramangala block achievementstasks sukh sagar bengaluru india developed deployed auto preprocessing step machine learning missing treatment outlier detection encoding scaling feature selection dimensionality reduction deployed automated classification regression model linkedincominadityarathore b4600b146 reasearch deployed time series forecasting model arima sarimax holtwinter prophet worked metafeature extracting problem githubcomrathorology implemented state art paper outlier detection mixed attribute company matelabs description
2,Data Science,area deep learning control design programming inpython electric machinery web development analytics technical activity hindustan aeronautics limited bangalore week guidance satish senior engineer hangar mirage fighter aircraft technical skill programming matlab python java labview python webframeworkdjango flask ltspiceintermediate language mipowerintermediate github gitbash jupyter notebook xampp mysqlbasics python software package interpretersanaconda python python pycharm java ideeclipse operating system window ubuntu debiankali linux education detail january btech electrical electronics engineering manipal institute technology january deeksha center january flower public school august manipal academy higher data science data science electrical enthusiast skill detail data analysis exprience year month excel exprience year month machine learning exprience year month mathematics exprience year month python exprience year month matlab exprience year month electrical engineering exprience year month sql exprience year monthscompany detail company themathcompany description working casino based operatorname disclosed macaui segment customer visit property based patron bring companybasically prove segmentation current proper number uphenceforth implement target marketing strategy attract customer add business
3,Data Science,skill python sap hana tableau sap hana sql sap hana pal sql sap lumira linear programming data modelling advance analytics scm analytics retail analytics social medium analytics nlp education detail january january pgdm business analytics great lake institute management illinois institute technology january bachelor engineering electronics communication bengaluru karnataka horizon college engineering bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill detail linear programming exprience month retail exprience month retail marketing exprience month scm exprience month sql exprience year month deep learning exprience year month machine learning exprience year month python exprience year month exprience year monthscompany detail company deloitte usi description project involved analysing historic deal coming insight optimize future deal role raw data carried analysis presented insight client key responsibility extract data client system geography understand build report tableau infer meaningful insight optimize price process blockade technical environment tableau industry cross industry service area cross industry product project handwriting recognition consultant month project involved handwritten image converting digital text image object detection sentence creation role developing sentence correction functionality key responsibility gather data large capture english train lstm model technical environment python industry finance service area financial service development project swift consultant month project develop analytics infrastructure sap user view financial report respective department reporting included forecasting expense role leading offshore team key responsibility design develop data model reporting develop etl data flow validate report technical environment sap hana tableau sap industry healthcare analytics service area life science product development project clinical healthcare consultant month project develop analytics infrastructure argus user query faster provide advance analytics capability role involved design deploy phase performed lot data restructuring built model insight key responsibility design develop data model reporting develop deploy analytical model validate report technical environment data modelling sap hana tableau nlp industry fmcg service area trade promotion project consumption based planning flower food consultant month project involved setting crm cbp module role involved key data decomposition activity setting base future year forecast project developed model carried key performance improvement key responsibility design develop hana model decomposition develop data flow forecast developed view reporting customersalesfunds validate report bobj technical environment data modelling sap hana bobj time series forecasting internal initiative industry fmcg customer segmentation rfm analysis consultant month initiative involved setting hanapython interface advance analytics python segmented data core segment kmeans carried rfm analysis python developed algorithm categorize customer defined bucket technical environment anaconda python hana sps industry telecom invoice state detection consultant month initiative reduce manual effort verifying closed open invoice manually involved development decision tree classify openclosed invoice enabled effort reduction technical environment sap pal sap hana sps accenture experience industry analytics cross industry process analytics sap senior developer month accenture solution pvt india project involved development sap analytics tool process analytics ipa role develop database object data model provide operational insight client role developed finance kpis spearheaded deployment introduced sap predictive analytics reduce development time reuse functionality kpis prepared production planning report key responsibility involved gather phase designed implemented sap hana data modelling attribute view analytic view calculation view developed kpis individually complex sql script calculation view created procedure hana database ownership developed dashboard functionality involved building data processing algorithm executed server cluster analysis technical environment sap hana tsql industry cross industry accenture testing accelerator sap database developer month accenture solution pvt india role care development activity atas tool completed deployment product activity actively involved maintenance database server production quality key responsibility analyzing business requirement understanding scope requirement clarified interacting business transform requirement generate attribute mapping document reviewing mapping specification documentation create update database object table view stored procedure function package monitored sql server error log application log sql server agent prepared data flow diagram entity relationship diagram uml responsible designing developing normalization database table experience performance tuning sql profiler involved uat knowledge transfer support activity technical environment sql server visual studio window server performance monitor sql server profiler plsql tsql
4,Data Science,education detail mca ymcaust faridabad haryana data science internship skill detail data structure exprience year month exprience year month data analysis exprience year month python exprience year month core java exprience year month database management exprience year monthscompany detail company itechpower description
5,Data Science,skill basic iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured place btecheducation detail august btech ghatkesar andhra pradesh aurora scientific technological institute june secondary education warangal telangana junior college data science skill detail office exprience year month exprience year month machine learning exprience year month data science exprience year month matlab exprience year monthscompany detail company description
6,Data Science,skill python tableau data visualization studio machine learning statistic iabac certified data scientist versatile experience year managing business data science consulting leading innovation project bringing business idea working real solution strong advocator augmented era human capability enhanced machine fahed passionate bringing business concept area machine learning robotics real life solutionseducation detail january tech computer science engineering mohali punjab indo global college engineering data science consultant data science consultant datamites skill detail machine learning exprience month python exprience month solution exprience month data science exprience month data visualization exprience month tableau exprience monthscompany detail company datamites description analyzed processed complex data set advanced querying visualization analytics tool responsible loading extracting validation client data worked manipulating cleaning processing data python tableau data visualization company heretic solution pvt description worked closely business identify issue data propose solution effective decision making manipulating cleansing processing data python excel analyzed raw data drawing conclusion developing recommendation machine learning tool statistical technique produce solution problem
7,Data Science,education detail btech rayat bahra institute engineering biotechnology data science data science skill detail numpy exprience year month machine learning exprience year month tensorflow exprience year month scikit exprience year month python exprience year month gcp exprience year month panda exprience year month neural network exprience year monthscompany detail company wipro description bhawana aggarwal emailbhawanachdgmailcom phone vversatile highenergy professional targeting challenging assignment machine profile summary professional knowledge experience year wipro technology machine learning deep learning data science python software development skilled managing endtoend development software product project inception requirement spec planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithm neural network nlp gcp knowledge python library numpy panda seaborn matplotlib cufflink knowledge algorithm machine learning knn decision tree bias variance trade support vector machinesvmlogistic regression neural network knowledge unsupervised supervised reinforcement data programming experience relational platform mysqloracle knowledge programming language cjava experience cloud based environment google cloud working operating linux ubuntu window good interpersonal communication skill problem solving skill laterally medium term long term perspective flexibility open attitude change create define framework strong emphasis code reusability technical skill programming language python library seaborn numpy panda cufflink matplotlib algorithm knn decision tree linear regression logistic regression neural network clustering tensorflow svm database sql oracle operating system linux window development environment netbeans notebook sublime ticketing tool service remedy education education btech computer science rayat bahra institute engineering biotechnology passed schooling xii moti ram arya secondary schoolpassed valley public school passed cgpa work experince title wipro neural intelligence platform team size wipro neural intelligence platform harness power automation artificial intelligence technology natural language processing nlp cognitive machine learning analytics platform comprises layer data engagement platform easily access manage multiple structured unstructured data source intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense learn time project entailed automating response user query earliest monster bot power deep machine learning nlp handle query user query answered alll activity eliminated entity extractor involves text extraction nlp fetching text date name place contact number involves regex bluemix nlu api machine learning tensor flow learning entity classifier involves classification class training dataset predicting output sklearn classifier mnb svm sgd classifier sgd optimization map user query suited response efficient ner deep learning ner model trained extract entity text entity role skill organization extracted raw text rnnlstm bidirectional model trained extracting entity kera tensorflow framework project title diabetes detection developed software detect person suffering diabetes prize training certification title python training machine learning data science deep learning organization udemy coursera machine learning deep learning personal profile father tirlok aggarwal language english hindi marital status single birthgender yyyymmdd company wipro description developing program python company wipro description title wipro neural intelligence platform team size wipro neural intelligence platform harness power automation artificial intelligence technology natural language processing nlp cognitive machine learning analytics platform comprises layer data engagement platform easily access manage multiple structured unstructured data source intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense learn time project entailed automating response user query earliest monster bot power deep machine learning nlp handle query user query answered alll activity eliminated entity extractor involves text extraction nlp fetching text date name place contact number involves regex bluemix nlu api machine learning tensor flow learning entity classifier involves classification class training dataset predicting output sklearn classifier mnb svm sgd classifier sgd optimization map user query suited response efficient ner deep learning ner model trained extract entity text entity role skill organization extracted raw text rnnlstm bidirectional model trained extracting entity kera tensorflow framework company wipro technology description professional knowledge experience year wipro technology machine learning deep learning data science python software development skilled managing endtoend development software product project inception requirement spec planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithm neural network nlp gcp knowledge python library numpy panda seaborn matplotlib cufflink knowledge algorithm machine learning knn decision tree bias variance trade support vector machinesvmlogistic regression neural network knowledge unsupervised supervised reinforcement data programming experience relational platform mysqloracle knowledge programming language cjava experience cloud based environment google cloud working operating linux ubuntu window good interpersonal communication skill problem solving skill laterally medium term long term perspective flexibility open attitude change create define framework strong emphasis code reusability
8,Data Science,personal skill grasp technical aspect willingness learn high energy level result oriented education detail january master engineering computer technology application bhopal madhya pradesh truba institute engineering technology january computer science bhopal madhya pradesh rkdf institute science technology college engineering january polytechnic technology vidisha madhya pradesh sati engineering college vidisha january mtech thesis bmch school ganj basoda data science month experience data science key skill experience machine learning deep leaning nlp python sql web scraping good knowledge computer subject update skill detail experience machine learning deep learning nlp python sql web crawling htmlcss exprience year monthscompany detail company rntai technology solution description text classification machine learning algorithm python practical knowledge deep learning algorithm recurrent neural networksrnn develop custom data model algorithm apply dataset experience python package panda scikitlearn tensor flow numpy matplotliv nltk comfort sql mysql sentiment analysis apply leave dataset classification technique tfidf lsa cosine similarity machine learning algorithm web crawling selenium web driver beautiful soup python company life insurance corporation india bhopal description explaining policy feature benefit updated knowledge life insurance product shared customer
9,Data Science,expertise data quantitative analysis decision analytics predictive modeling datadriven personalization kpi dashboard big data query interpretation data mining visualization tool machine learning algorithm business intelligence report forecast education detail pgp data science mumbai maharashtra aegis school data science business electronics communication electronics communication indore madhya pradesh y ip academy data scientist data scientist canada skill detail algorithm exprience month exprience month business intelligence exprience month machine learning exprience month visualization exprience month spark exprience month python exprience month tableau exprience month data analysis exprience monthscompany detail company aegis school data science business description working industry project providing solution teaching appointment teach undergraduate graduatelevel course spark machine learning adjunct faculty member aegis school data science mumbai company aegis school data business description data science intern nov jan furnish executive leadership team insight analytics report recommendation enabling effective strategic planning business unit distribution channel product line chat bot aws lex tensor flow python goal project creates chat bot academic institution university handle query course offered institute objective task reduce human effort reduce man error company handle client case company academic institution client participant student web scraping selenium web driver python task scrap data online messaging portal text format pattern form data visualization data insight hadoop eco hive pyspark qliksense goal project build business solution internet service provider company handling data generated day basis visualize data usage pattern form generate report image based fraud detection microsoft face api pyspark open main goal project recognize similarity face database image face recognition recognizing special face set face face extracted compared database image image recognized person applied loan hiding identity prevent fraud initial stage churn analysis internet service provider python machine learning hadoop objective identify customer churn period time pretend customer incentive offer sentiment analysis python nlp apache spark service ibm bluemix project highly emphasis tweet twitter data mobile network service provider sentiment analysis analyze expressed opinion positive negative neutral capture emotion tweet comparative analysis quantifiable mentored data science enthusiast year graduate school data science business analytics reviewed evaluated paper data science largest data science conference called data science congress aegis school business mumbai heading solution providing organization called data science delivered aegis school data science mumbai managed live project data science technique working social data science social good committee team developed product called missing child helping society company ibm india pvt description worked blumix ibm watson data science
